completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,fac_count,add_fac_count,price_level
,850,Jinjang,Apartment,3,,2,750,Partially Furnished,Kuala Lumpur,1,2,cheap
,1400,Petaling,Condominium,3,1,2,1129,Fully Furnished,Kuala Lumpur,11,4,cheap
2021,1900,Kepong,Service Residence,2,1,2,1132,Partially Furnished,Kuala Lumpur,11,1,Expensive
2022,2100,Setapak,Service Residence,3,2,2,1000,Partially Furnished,Kuala Lumpur,9,3,Expensive
,1800,Setapak,Apartment,3,1,2,884,Fully Furnished,Kuala Lumpur,7,4,Expensive
2020,1300,Sentul,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,9,1,cheap
2021,2500,Sentul,Service Residence,3,1,2,850,Fully Furnished,Kuala Lumpur,6,3,Expensive
2022,2300,Setapak,Service Residence,3,2,2,1000,Partially Furnished,Kuala Lumpur,7,3,Expensive
2021,1350,Cheras,Service Residence,2,1,1,650,Partially Furnished,Kuala Lumpur,8,5,Expensive
2020,1100,Kepong,Apartment,3,2,2,800,Partially Furnished,Kuala Lumpur,6,3,cheap
2015,1700,Sentul,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,14,2,cheap
,1800,South,Apartment,3,1,2,1200,Partially Furnished,Kuala Lumpur,10,2,Expensive
,1600,Setapak,Service Residence,3,1,2,770,Fully Furnished,Kuala Lumpur,10,1,cheap
,1600,Setapak,Service Residence,3,2,2,800,Fully Furnished,Kuala Lumpur,8,3,cheap
2021,1650,Sentul,Service Residence,3,2,2,850,Partially Furnished,Kuala Lumpur,1,2,cheap
2021,1200,Sentul,Service Residence,2,1,1,646,Not Furnished,Kuala Lumpur,8,,Expensive
,1400,Pandan,Apartment,3,1,2,1000,Partially Furnished,Kuala Lumpur,3,2,cheap
,900,Setapak,Service Residence,1,1,1,360,Fully Furnished,Kuala Lumpur,10,,Expensive
2015,1200,Maju,Service Residence,1,1,1,521,Partially Furnished,Kuala Lumpur,6,3,Expensive
2018,2500,Brickfields,Service Residence,1,1,1,468,Fully Furnished,Kuala Lumpur,1,4,Expensive
2019,2200,Kepong,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,14,5,Expensive
,2300,ParkCity,Condominium,3,1,2,862,Fully Furnished,Kuala Lumpur,9,3,Expensive
,1600,Jalil,Condominium,3,2,2,1224,Fully Furnished,Kuala Lumpur,10,5,cheap
,700,Sentul,Apartment,3,,1,700,Not Furnished,Kuala Lumpur,2,1,cheap
2017,1900,Ipoh,Condominium,3,2,2,1193,Partially Furnished,Kuala Lumpur,12,3,Expensive
2018,2100,Ampang,Service Residence,3,2,2,1200,Fully Furnished,Kuala Lumpur,11,3,Expensive
,1399,Setapak,Service Residence,3,1,2,926,Partially Furnished,Kuala Lumpur,,,cheap
,1300,Cheras,Apartment,3,1,3,935,Not Furnished,Kuala Lumpur,6,1,cheap
2021,1450,Lama,Condominium,3,1,2,1100,Partially Furnished,Kuala Lumpur,5,,cheap
,1500,Pandan,Apartment,3,1,2,900,Partially Furnished,Kuala Lumpur,10,3,cheap
2012,1600,Kepong,Condominium,3,1,2,1070,Partially Furnished,Kuala Lumpur,8,3,cheap
2012,2000,Ismail,Service Residence,1,1,1,560,Fully Furnished,Kuala Lumpur,5,,Expensive
,1900,KLCC,Condominium,2,,2,705,Fully Furnished,Kuala Lumpur,9,,Expensive
2021,2200,Kepong,Apartment,2,1,2,866,Fully Furnished,Kuala Lumpur,11,2,Expensive
2020,3300,City,Apartment,3,1,2,950,Fully Furnished,Kuala Lumpur,10,1,Expensive
,1000,Kepong,Apartment,3,,2,955,Partially Furnished,Kuala Lumpur,4,,cheap
,850,Setapak,Apartment,3,,1,650,Not Furnished,Kuala Lumpur,4,1,cheap
,1650,Jalil,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,10,4,cheap
2021,2500,Sentul,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,7,2,Expensive
2010,1500,Ipoh,Condominium,3,2,2,1062,Partially Furnished,Kuala Lumpur,,,cheap
,1500,Setapak,Service Residence,3,,2,1040,Partially Furnished,Kuala Lumpur,6,3,cheap
,1500,City,Apartment,3,1,2,1100,Partially Furnished,Kuala Lumpur,1,1,cheap
2007,999,Kepong,Condominium,3,1,2,962,Not Furnished,Kuala Lumpur,10,,cheap
,1500,Indah,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,2,4,cheap
2022,2100,Desa,Condominium,3,2,2,925,Fully Furnished,Kuala Lumpur,11,5,Expensive
2017,1550,Pandan,Service Residence,1,1,1,570,Fully Furnished,Kuala Lumpur,6,3,Expensive
,1450,Cheras,Condominium,3,1,2,1150,Fully Furnished,Kuala Lumpur,12,4,cheap
2021,1750,Cheras,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,11,3,cheap
2017,1800,Cheras,Service Residence,1,1,2,762,Partially Furnished,Kuala Lumpur,10,,Expensive
,1700,Sentul,Apartment,2,1,2,743,Fully Furnished,Kuala Lumpur,14,4,Expensive
2014,2200,South,Condominium,1,1,1,638,Fully Furnished,Kuala Lumpur,5,,Expensive
2015,1700,Jaya,Condominium,3,1,2,1072,Partially Furnished,Kuala Lumpur,7,3,cheap
2006,1948,Heights,Service Residence,2,1,2,990,Fully Furnished,Kuala Lumpur,9,4,Expensive
2021,1300,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,5,2,cheap
2023,2200,Cheras,Condominium,3,2,2,850,Fully Furnished,Kuala Lumpur,12,3,Expensive
2015,1600,Perdana,Service Residence,3,2,2,1020,Partially Furnished,Kuala Lumpur,7,3,cheap
,1300,Setapak,Service Residence,3,1,2,926,Not Furnished,Kuala Lumpur,,,cheap
,2400,Setapak,Condominium,3,2,2,1313,Partially Furnished,Kuala Lumpur,9,,Expensive
,2500,Segambut,Condominium,3,2,3,1537,Fully Furnished,Kuala Lumpur,11,3,Expensive
,1200,Besi,Condominium,3,,2,800,Not Furnished,Kuala Lumpur,5,1,cheap
,1000,Jalil,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,5,2,cheap
2004,1500,Kuching,Condominium,3,1,2,1100,Partially Furnished,Kuala Lumpur,10,1,cheap
2004,1600,Kuching,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,10,2,cheap
2006,1400,Sentul,Apartment,3,1,2,650,Partially Furnished,Kuala Lumpur,8,3,cheap
2021,1800,Lama,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,4,4,Expensive
2021,1488,Cheras,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,8,3,cheap
,1500,Setapak,Condominium,3,1,2,850,Not Furnished,Kuala Lumpur,,,cheap
2018,2200,Setapak,Apartment,3,1,2,829,Fully Furnished,Kuala Lumpur,8,,Expensive
,1400,Jalil,Condominium,2,1,2,980,Fully Furnished,Kuala Lumpur,7,4,Expensive
2004,1500,Kuching,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,10,3,cheap
,1600,Pandan,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,9,3,cheap
,1500,Cheras,Condominium,3,1,2,1185,Partially Furnished,Kuala Lumpur,,5,cheap
2003,1200,Setapak,Condominium,3,1,2,931,Partially Furnished,Kuala Lumpur,10,1,cheap
,1500,Cheras,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,1,5,cheap
,1400,Road,Condominium,1,1,2,775,Fully Furnished,Kuala Lumpur,9,4,Expensive
,1600,Setapak,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,6,5,cheap
,1000,Kepong,Apartment,3,,2,750,Not Furnished,Kuala Lumpur,2,,cheap
,1600,Setapak,Apartment,3,1,2,900,Fully Furnished,Kuala Lumpur,3,4,cheap
,1600,Cheras,Condominium,3,2,2,1018,Partially Furnished,Kuala Lumpur,,3,cheap
2021,3200,Jalil,Service Residence,2,1,2,750,Fully Furnished,Kuala Lumpur,7,3,Expensive
2017,1700,Setapak,Service Residence,3,1,2,900,Fully Furnished,Kuala Lumpur,,,cheap
2007,1800,Setapak,Condominium,3,1,2,1067,Fully Furnished,Kuala Lumpur,,,Expensive
,2500,Titiwangsa,Service Residence,3,1,2,850,Fully Furnished,Kuala Lumpur,7,4,Expensive
2021,1300,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,2,Expensive
,900,Ampang,Condominium,3,1,2,890,Partially Furnished,Kuala Lumpur,11,1,cheap
,1200,Cheras,Apartment,3,1,2,1006,Partially Furnished,Kuala Lumpur,,4,cheap
2013,2000,Kuching,Condominium,3,1,2,1018,Fully Furnished,Kuala Lumpur,12,3,Expensive
2013,1700,Titiwangsa,Service Residence,2,1,1,726,Partially Furnished,Kuala Lumpur,10,3,Expensive
,1300,Selatan,Apartment,3,1,2,850,Fully Furnished,Kuala Lumpur,3,4,cheap
,1500,Maju,Apartment,3,,2,1070,Partially Furnished,Kuala Lumpur,6,2,cheap
,1200,Pandan,Condominium,3,,2,900,Not Furnished,Kuala Lumpur,8,,cheap
,1400,Sentul,Condominium,3,2,2,1010,Not Furnished,Kuala Lumpur,3,,cheap
2014,1400,Cheras,Condominium,3,2,2,865,Fully Furnished,Kuala Lumpur,10,3,cheap
2020,1400,Kepong,Service Residence,3,2,2,932,Partially Furnished,Kuala Lumpur,12,2,cheap
2017,1350,Sentul,Service Residence,3,1,2,1095,Not Furnished,Kuala Lumpur,14,5,cheap
,1700,Road,Service Residence,2,1,2,775,Fully Furnished,Kuala Lumpur,11,4,Expensive
,1599,Pudu,Condominium,3,1,2,900,Partially Furnished,Kuala Lumpur,9,,cheap
2007,1880,Kuching,Service Residence,3,1,2,1290,Partially Furnished,Kuala Lumpur,11,2,Expensive
2017,1800,Segambut,Condominium,3,2,3,1298,Partially Furnished,Kuala Lumpur,7,,Expensive
2016,2800,Damansara,Condominium,3,2,3,1610,Fully Furnished,Kuala Lumpur,9,,Expensive
,1800,Kuching,Service Residence,3,1,2,1105,Fully Furnished,Kuala Lumpur,14,5,Expensive
,1800,South,Apartment,3,,2,1200,Partially Furnished,Kuala Lumpur,5,2,Expensive
,1500,Setiawangsa,Apartment,3,,1,874,Partially Furnished,Kuala Lumpur,,,cheap
,1300,Cheras,Apartment,3,,2,850,Fully Furnished,Kuala Lumpur,,,cheap
,600,Cheras,Apartment,3,,1,700,Not Furnished,Kuala Lumpur,5,2,cheap
,1499,Setapak,Service Residence,2,1,1,700,Fully Furnished,Kuala Lumpur,10,4,Expensive
,1300,Pandan,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,7,,cheap
,1000,Pandan,Apartment,3,,2,900,Partially Furnished,Kuala Lumpur,7,,cheap
2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,8,3,Expensive
,1300,Cheras,Apartment,3,2,2,1000,Partially Furnished,Kuala Lumpur,11,1,cheap
,1550,Sentul,Condominium,3,,2,900,Partially Furnished,Kuala Lumpur,10,1,cheap
2012,2600,Ismail,Service Residence,2,1,1,805,Fully Furnished,Kuala Lumpur,8,4,Expensive
2010,1700,Ipoh,Condominium,3,1,2,1300,Partially Furnished,Kuala Lumpur,8,3,cheap
2022,1800,Lama,Service Residence,2,1,2,804,Fully Furnished,Kuala Lumpur,9,,Expensive
,850,Sentul,Apartment,2,1,1,570,Not Furnished,Kuala Lumpur,,,cheap
,1200,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,14,5,cheap
2021,2800,Segambut,Service Residence,3,2,2,1033,Fully Furnished,Kuala Lumpur,8,2,Expensive
,1000,Cheras,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,5,3,cheap
,800,Cheras,Apartment,3,,2,650,Not Furnished,Kuala Lumpur,5,1,cheap
2018,1200,Besi,Apartment,3,1,2,1035,Partially Furnished,Kuala Lumpur,7,3,cheap
,1499,Sentul,Service Residence,3,1,2,948,Partially Furnished,Kuala Lumpur,12,2,cheap
2006,1750,Sentul,Apartment,3,1,2,1010,Fully Furnished,Kuala Lumpur,7,4,cheap
2020,1700,Sentul,Apartment,3,1,2,819,Fully Furnished,Kuala Lumpur,9,3,cheap
2017,1350,Sentul,Service Residence,3,1,2,1150,Partially Furnished,Kuala Lumpur,11,1,cheap
,750,Keramat,Apartment,3,2,2,722,Not Furnished,Kuala Lumpur,4,3,cheap
,1600,OUG,Apartment,3,2,2,950,Fully Furnished,Kuala Lumpur,7,4,cheap
2013,1800,Kuching,Condominium,2,1,2,880,Fully Furnished,Kuala Lumpur,11,3,Expensive
2022,1800,Setapak,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,7,2,Expensive
,1300,South,Apartment,2,1,2,555,Partially Furnished,Kuala Lumpur,5,2,Expensive
2018,1500,Ampang,Service Residence,1,1,1,680,Fully Furnished,Kuala Lumpur,12,4,Expensive
2017,1850,Cheras,Service Residence,3,1,2,1050,Fully Furnished,Kuala Lumpur,4,4,Expensive
2019,1499,Setapak,Apartment,3,2,2,928,Partially Furnished,Kuala Lumpur,9,3,cheap
,1300,Sentul,Apartment,3,1,2,1000,Not Furnished,Kuala Lumpur,7,1,cheap
2006,1500,Sentul,Apartment,3,1,2,1100,Partially Furnished,Kuala Lumpur,6,3,cheap
,1450,Setapak,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,8,2,cheap
2015,1600,Cheras,Condominium,3,1,2,1142,Partially Furnished,Kuala Lumpur,8,2,cheap
,2000,South,Service Residence,1,,1,525,Fully Furnished,Kuala Lumpur,6,5,Expensive
2023,2600,Cheras,Condominium,3,2,2,850,Fully Furnished,Kuala Lumpur,14,3,Expensive
2017,1700,Setapak,Condominium,3,2,2,1200,Partially Furnished,Kuala Lumpur,7,,cheap
,1500,Setapak,Condominium,3,1,2,700,Partially Furnished,Kuala Lumpur,10,,cheap
,1500,Setapak,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,7,2,cheap
,1500,Setapak,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,7,2,cheap
,1500,Maju,Condominium,3,1,2,700,Partially Furnished,Kuala Lumpur,,,cheap
,1550,Setapak,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,6,3,cheap
,1250,Setapak,Apartment,3,1,2,1100,Partially Furnished,Kuala Lumpur,11,4,cheap
,1500,Pandan,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,10,3,cheap
,1700,Pudu,Condominium,3,1,2,860,Partially Furnished,Kuala Lumpur,12,4,cheap
,1900,South,Condominium,3,1,2,1150,Partially Furnished,Kuala Lumpur,10,4,Expensive
,2100,Ismail,Condominium,3,1,2,1384,Partially Furnished,Kuala Lumpur,14,4,Expensive
2023,2300,Cheras,Condominium,3,3,2,850,Fully Furnished,Kuala Lumpur,10,4,Expensive
,800,Kepong,Apartment,3,,2,700,Partially Furnished,Kuala Lumpur,3,2,cheap
,1250,Kepong,Apartment,2,,1,750,Fully Furnished,Kuala Lumpur,4,3,Expensive
,1450,Setapak,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,7,2,cheap
2007,1800,Setapak,Condominium,3,1,2,1125,Fully Furnished,Kuala Lumpur,9,4,Expensive
,1650,Setapak,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,7,3,cheap
,1750,Setapak,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,7,4,cheap
,650,Road,Apartment,3,,1,750,Not Furnished,Kuala Lumpur,2,,cheap
,1600,Menjalara,Condominium,3,2,2,1180,Fully Furnished,Kuala Lumpur,9,3,cheap
,450,Setapak,Apartment,3,,2,850,Partially Furnished,Kuala Lumpur,9,3,cheap
,1800,South,Condominium,3,,2,1097,Partially Furnished,Kuala Lumpur,7,3,Expensive
,1000,Kepong,Apartment,3,1,1,850,Partially Furnished,Kuala Lumpur,7,3,cheap
,1400,Sentul,Condominium,3,2,2,1010,Fully Furnished,Kuala Lumpur,7,5,cheap
2006,1700,Sentul,Apartment,3,1,2,1065,Fully Furnished,Kuala Lumpur,5,4,cheap
2021,2500,Sentul,Service Residence,3,1,2,850,Fully Furnished,Kuala Lumpur,8,2,Expensive
,2950,Kiara,Service Residence,3,2,2,940,Fully Furnished,Kuala Lumpur,8,3,Expensive
2022,1800,Setapak,Condominium,3,2,2,1000,Fully Furnished,Kuala Lumpur,12,5,Expensive
2014,1800,Sentul,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,12,2,Expensive
2017,2200,Setapak,Condominium,1,1,1,700,Fully Furnished,Kuala Lumpur,6,,Expensive
,650,Cheras,Apartment,3,1,1,700,Not Furnished,Kuala Lumpur,,2,cheap
,800,Jalil,Apartment,3,,2,650,Partially Furnished,Kuala Lumpur,5,,cheap
,650,Kepong,Apartment,3,,2,650,Not Furnished,Kuala Lumpur,,1,cheap
2007,1800,Setapak,Condominium,3,1,2,1076,Fully Furnished,Kuala Lumpur,6,2,Expensive
2019,1900,Perdana,Apartment,2,1,2,678,Fully Furnished,Kuala Lumpur,13,4,Expensive
2017,3400,Sentul,Condominium,3,3,3,1186,Fully Furnished,Kuala Lumpur,,,Expensive
,600,Kepong,Apartment,3,,2,650,Not Furnished,Kuala Lumpur,4,1,cheap
2019,1900,Besi,Condominium,3,2,2,1216,Partially Furnished,Kuala Lumpur,7,2,Expensive
,1500,Setapak,Service Residence,3,1,2,850,Not Furnished,Kuala Lumpur,10,2,cheap
2015,2400,Ampang,Condominium,3,1,2,1060,Fully Furnished,Kuala Lumpur,5,2,Expensive
,1100,Cheras,Apartment,3,,2,625,Not Furnished,Kuala Lumpur,,1,cheap
,2800,Hartamas,Service Residence,3,1,3,1000,Fully Furnished,Kuala Lumpur,9,2,Expensive
2023,1800,Cheras,Condominium,3,2,2,850,Partially Furnished,Kuala Lumpur,10,3,Expensive
2018,2000,Jalil,Condominium,3,2,3,1325,Partially Furnished,Kuala Lumpur,10,2,Expensive
2006,1750,Sentul,Apartment,3,1,2,1065,Fully Furnished,Kuala Lumpur,7,,cheap
2019,1700,Setapak,Apartment,3,2,2,928,Partially Furnished,Kuala Lumpur,9,3,cheap
,2200,Petaling,Service Residence,3,2,2,958,Partially Furnished,Kuala Lumpur,10,2,Expensive
2018,3000,Melawati,Service Residence,3,1,2,1376,Fully Furnished,Kuala Lumpur,7,,Expensive
,1000,Kepong,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,4,2,cheap
,1200,City,Apartment,3,1,2,805,Partially Furnished,Kuala Lumpur,9,1,cheap
2007,1800,Kuching,Service Residence,3,1,2,1300,Partially Furnished,Kuala Lumpur,10,1,Expensive
,1100,Setapak,Apartment,3,,1,653,Fully Furnished,Kuala Lumpur,7,1,cheap
,1900,South,Apartment,3,1,2,1200,Partially Furnished,Kuala Lumpur,14,4,Expensive
2018,1600,Ampang,Service Residence,2,1,2,589,Fully Furnished,Kuala Lumpur,8,3,Expensive
2012,1500,Kepong,Condominium,3,1,2,1000,Partially Furnished,Kuala Lumpur,5,1,cheap
2018,1600,Ipoh,Service Residence,2,1,2,904,Partially Furnished,Kuala Lumpur,,,Expensive
2020,1100,Kepong,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,6,3,cheap
2020,1100,Kepong,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,6,2,cheap
,1200,Kepong,Condominium,3,1,2,1001,Partially Furnished,Kuala Lumpur,6,3,cheap
2020,1400,Kepong,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,6,3,cheap
2015,1600,Ampang,Service Residence,1,1,1,520,Fully Furnished,Kuala Lumpur,8,4,Expensive
,1800,Pudu,Condominium,3,1,2,864,Fully Furnished,Kuala Lumpur,9,5,Expensive
,1350,Cheras,Condominium,3,1,2,967,Partially Furnished,Kuala Lumpur,7,,cheap
2019,2000,Keramat,Condominium,3,3,2,1050,Partially Furnished,Kuala Lumpur,7,4,Expensive
2019,2250,Keramat,Condominium,3,2,2,1050,Fully Furnished,Kuala Lumpur,7,4,Expensive
,1600,Setapak,Service Residence,3,1,2,926,Partially Furnished,Kuala Lumpur,7,2,cheap
,3000,Dutamas,Condominium,3,1,2,1474,Fully Furnished,Kuala Lumpur,7,4,Expensive
2020,1100,Kepong,Apartment,3,1,2,932,Partially Furnished,Kuala Lumpur,1,,cheap
2019,1700,Kepong,Service Residence,3,2,2,958,Not Furnished,Kuala Lumpur,,,cheap
2009,1800,Dutamas,Condominium,3,1,2,1000,Fully Furnished,Kuala Lumpur,11,2,Expensive
,1500,Jalil,Condominium,3,1,2,1222,Fully Furnished,Kuala Lumpur,9,4,cheap
2020,1300,Pantai,Apartment,3,1,2,810,Not Furnished,Kuala Lumpur,7,,cheap
,1600,Jalil,Condominium,3,1,2,1206,Fully Furnished,Kuala Lumpur,11,4,cheap
2020,1900,Sentul,Service Residence,2,1,2,743,Fully Furnished,Kuala Lumpur,12,4,Expensive
2017,1700,Sentul,Service Residence,3,2,2,1009,Partially Furnished,Kuala Lumpur,8,2,cheap
2016,2700,Puchong,Service Residence,3,2,2,1096,Fully Furnished,Kuala Lumpur,9,5,Expensive
,1800,South,Apartment,3,,2,940,Not Furnished,Kuala Lumpur,5,,Expensive
,1400,Setiawangsa,Apartment,3,,1,878,Partially Furnished,Kuala Lumpur,3,1,cheap
