completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,fac_count,add_fac_count,nearby_ktm_lrt
,1500,Cheras,Condominium,2,1,1,717,Fully Furnished,Kuala Lumpur,13,4,yes
2017,1350,Maju,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,,,
2021,3000,Cheras,Service Residence,3,,2,864,Fully Furnished,Kuala Lumpur,11,4,yes
2017,1300,Sentul,Service Residence,3,1,2,1150,Not Furnished,Kuala Lumpur,8,1,yes
,2500,Pantai,Condominium,3,,2,1500,Fully Furnished,Kuala Lumpur,5,3,yes
2015,7000,KLCC,Condominium,2,1,2,1076,Fully Furnished,Kuala Lumpur,8,4,yes
,1300,Jalil,Apartment,3,1,2,1000,Not Furnished,Kuala Lumpur,6,,
,900,Cheras,Apartment,2,1,1,550,Partially Furnished,Kuala Lumpur,5,2,yes
,1300,Cheras,Condominium,3,1,2,967,Partially Furnished,Kuala Lumpur,8,3,yes
,2500,Maju,Condominium,4,1,2,1184,Partially Furnished,Kuala Lumpur,6,,
1985,1300,Desa,Condominium,2,1,2,1050,Partially Furnished,Kuala Lumpur,12,1,no
2015,7800,KLCC,Condominium,2,1,2,1076,Fully Furnished,Kuala Lumpur,10,4,yes
2010,1700,Maju,Condominium,3,,3,1267,Partially Furnished,Kuala Lumpur,11,4,yes
2010,2000,Maju,Condominium,3,1,3,1267,Fully Furnished,Kuala Lumpur,11,5,yes
,2100,Sentul,Service Residence,2,,2,999,Partially Furnished,Kuala Lumpur,10,4,yes
2015,1750,Besi,Condominium,3,2,2,1121,Fully Furnished,Kuala Lumpur,9,3,no
2021,2000,Kepong,Apartment,2,1,2,872,Fully Furnished,Kuala Lumpur,11,4,yes
,1300,Ampang,Apartment,3,,2,860,Not Furnished,Kuala Lumpur,3,1,no
2012,1100,Besi,Condominium,3,1,2,904,Partially Furnished,Kuala Lumpur,6,4,yes
,1300,City,Apartment,3,1,2,835,Fully Furnished,Kuala Lumpur,10,3,no
,850,Jinjang,Apartment,3,,2,750,Partially Furnished,Kuala Lumpur,1,2,yes
,1400,Petaling,Condominium,3,1,2,1129,Fully Furnished,Kuala Lumpur,11,4,yes
2021,1900,Kepong,Service Residence,2,1,2,1132,Partially Furnished,Kuala Lumpur,11,1,no
2021,1700,Sentul,Condominium,2,,1,700,Partially Furnished,Kuala Lumpur,10,4,yes
2022,2100,Setapak,Service Residence,3,2,2,1000,Partially Furnished,Kuala Lumpur,9,3,yes
2015,1550,Cheras,Condominium,4,1,2,1142,Partially Furnished,Kuala Lumpur,8,2,no
2006,1400,Setapak,Condominium,4,2,2,1300,Partially Furnished,Kuala Lumpur,6,2,no
,1800,Setapak,Apartment,3,1,2,884,Fully Furnished,Kuala Lumpur,7,4,yes
2020,1300,Sentul,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,9,1,no
2021,2500,Sentul,Service Residence,3,1,2,850,Fully Furnished,Kuala Lumpur,6,3,yes
2022,2300,Setapak,Service Residence,3,2,2,1000,Partially Furnished,Kuala Lumpur,7,3,yes
2021,1350,Cheras,Service Residence,2,1,1,650,Partially Furnished,Kuala Lumpur,8,5,yes
2020,1100,Kepong,Apartment,3,2,2,800,Partially Furnished,Kuala Lumpur,6,3,yes
2015,1700,Sentul,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,14,2,no
,1800,South,Apartment,3,1,2,1200,Partially Furnished,Kuala Lumpur,10,2,yes
,1600,Setapak,Service Residence,3,1,2,770,Fully Furnished,Kuala Lumpur,10,1,no
,1600,Setapak,Service Residence,3,2,2,800,Fully Furnished,Kuala Lumpur,8,3,yes
2021,1650,Sentul,Service Residence,3,2,2,850,Partially Furnished,Kuala Lumpur,1,2,no
2021,1200,Sentul,Service Residence,2,1,1,646,Not Furnished,Kuala Lumpur,8,,
1988,1200,Pantai,Condominium,2,1,2,1000,Partially Furnished,Kuala Lumpur,6,4,yes
2014,2599,Petaling,Condominium,4,3,5,1899,Fully Furnished,Kuala Lumpur,7,4,yes
,1400,Pandan,Apartment,3,1,2,1000,Partially Furnished,Kuala Lumpur,3,2,no
,2600,Maju,Service Residence,4,,2,877,Fully Furnished,Kuala Lumpur,,,
,900,Setapak,Service Residence,1,1,1,360,Fully Furnished,Kuala Lumpur,10,,
2015,1200,Maju,Service Residence,1,1,1,521,Partially Furnished,Kuala Lumpur,6,3,no
2018,2500,Brickfields,Service Residence,1,1,1,468,Fully Furnished,Kuala Lumpur,1,4,yes
2019,2200,Kepong,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,14,5,yes
,2300,ParkCity,Condominium,3,1,2,862,Fully Furnished,Kuala Lumpur,9,3,no
2015,1500,Cheras,Condominium,4,1,2,1142,Partially Furnished,Kuala Lumpur,14,5,yes
,1600,Jalil,Condominium,3,2,2,1224,Fully Furnished,Kuala Lumpur,10,5,yes
,700,Sentul,Apartment,3,,1,700,Not Furnished,Kuala Lumpur,2,1,no
2017,1900,Ipoh,Condominium,3,2,2,1193,Partially Furnished,Kuala Lumpur,12,3,no
2018,2100,Ampang,Service Residence,3,2,2,1200,Fully Furnished,Kuala Lumpur,11,3,no
,1399,Setapak,Service Residence,3,1,2,926,Partially Furnished,Kuala Lumpur,,,
,1300,Cheras,Apartment,3,1,3,935,Not Furnished,Kuala Lumpur,6,1,no
2021,1450,Lama,Condominium,3,1,2,1100,Partially Furnished,Kuala Lumpur,5,,
,1500,Pandan,Apartment,3,1,2,900,Partially Furnished,Kuala Lumpur,10,3,yes
,1000,Setapak,Flat,3,,2,650,Not Furnished,Kuala Lumpur,,3,yes
2012,1600,Kepong,Condominium,3,1,2,1070,Partially Furnished,Kuala Lumpur,8,3,yes
2021,2200,Sentul,Service Residence,3,,2,850,Fully Furnished,Kuala Lumpur,8,4,yes
2012,2000,Ismail,Service Residence,1,1,1,560,Fully Furnished,Kuala Lumpur,5,,
,1900,KLCC,Condominium,2,,2,705,Fully Furnished,Kuala Lumpur,9,,
2021,2200,Kepong,Apartment,2,1,2,866,Fully Furnished,Kuala Lumpur,11,2,no
2020,3300,City,Apartment,3,1,2,950,Fully Furnished,Kuala Lumpur,10,1,no
2015,2000,City,Service Residence,1,,1,600,Fully Furnished,Kuala Lumpur,6,3,no
,1000,Kepong,Apartment,3,,2,955,Partially Furnished,Kuala Lumpur,4,,
,850,Setapak,Apartment,3,,1,650,Not Furnished,Kuala Lumpur,4,1,no
1998,2500,Bangsar,Condominium,3,,2,1000,Fully Furnished,Kuala Lumpur,8,4,yes
1998,1500,Cheras,Condominium,3,1,2,1000,Fully Furnished,Kuala Lumpur,9,4,yes
,1650,Jalil,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,10,4,yes
2021,2500,Sentul,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,7,2,no
2010,1500,Ipoh,Condominium,3,2,2,1062,Partially Furnished,Kuala Lumpur,,,
,1200,South,Flat,3,,2,700,Partially Furnished,Kuala Lumpur,1,2,yes
,1500,Setapak,Service Residence,3,,2,1040,Partially Furnished,Kuala Lumpur,6,3,yes
,1500,Setapak,Condominium,4,2,2,1333,Partially Furnished,Kuala Lumpur,,3,yes
2023,1800,Cheras,Condominium,3,,2,850,Partially Furnished,Kuala Lumpur,10,4,yes
,1500,City,Apartment,3,1,2,1100,Partially Furnished,Kuala Lumpur,1,1,yes
1990,850,Kepong,Apartment,3,1,2,850,Not Furnished,Kuala Lumpur,7,1,no
2018,3700,Jalil,Condominium,3,2,2,1325,Fully Furnished,Kuala Lumpur,,,
2007,999,Kepong,Condominium,3,1,2,962,Not Furnished,Kuala Lumpur,10,,
,1500,Indah,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,2,4,yes
2022,2100,Desa,Condominium,3,2,2,925,Fully Furnished,Kuala Lumpur,11,5,yes
1998,4500,Kiara,Condominium,4,,3,1690,Fully Furnished,Kuala Lumpur,10,4,no
2017,1550,Pandan,Service Residence,1,1,1,570,Fully Furnished,Kuala Lumpur,6,3,no
2021,2300,Cheras,Service Residence,3,,2,1050,Fully Furnished,Kuala Lumpur,8,4,yes
2017,1500,Road,Service Residence,3,,2,900,Partially Furnished,Kuala Lumpur,6,3,yes
2022,2499,Setapak,Service Residence,4,3,2,1100,Partially Furnished,Kuala Lumpur,7,4,yes
,1450,Cheras,Condominium,3,1,2,1150,Fully Furnished,Kuala Lumpur,12,4,yes
2004,4000,Bintang,Condominium,4,,4,2200,Fully Furnished,Kuala Lumpur,8,4,no
2021,1100,Cheras,Service Residence,2,,2,650,Partially Furnished,Kuala Lumpur,8,,
2021,1750,Cheras,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,11,3,yes
2017,1800,Cheras,Service Residence,1,1,2,762,Partially Furnished,Kuala Lumpur,10,,
,1700,Sentul,Apartment,2,1,2,743,Fully Furnished,Kuala Lumpur,14,4,yes
2014,2200,South,Condominium,1,1,1,638,Fully Furnished,Kuala Lumpur,5,,
2015,1700,Jaya,Condominium,3,1,2,1072,Partially Furnished,Kuala Lumpur,7,3,yes
,2000,Jalil,Condominium,4,1,2,900,Fully Furnished,Kuala Lumpur,7,4,yes
2006,1948,Heights,Service Residence,2,1,2,990,Fully Furnished,Kuala Lumpur,9,4,yes
2021,1300,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,5,2,no
2023,2200,Cheras,Condominium,3,2,2,850,Fully Furnished,Kuala Lumpur,12,3,yes
2015,1600,Perdana,Service Residence,3,2,2,1020,Partially Furnished,Kuala Lumpur,7,3,no
,1300,Setapak,Service Residence,3,1,2,926,Not Furnished,Kuala Lumpur,,,
,2400,Setapak,Condominium,3,2,2,1313,Partially Furnished,Kuala Lumpur,9,,
2021,1400,Cheras,Service Residence,3,,2,850,Not Furnished,Kuala Lumpur,,3,yes
,2500,Segambut,Condominium,3,2,3,1537,Fully Furnished,Kuala Lumpur,11,3,no
,1200,Besi,Condominium,3,,2,800,Not Furnished,Kuala Lumpur,5,1,no
2007,1800,Setapak,Condominium,3,,2,1066,Fully Furnished,Kuala Lumpur,6,4,yes
2016,1400,Cheras,Studio,1,1,1,450,Fully Furnished,Kuala Lumpur,10,3,yes
2023,1800,Cheras,Condominium,3,,2,850,Partially Furnished,Kuala Lumpur,9,2,yes
2022,550,Setapak,Service Residence,4,,3,1300,Partially Furnished,Kuala Lumpur,11,5,yes
,1000,Jalil,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,5,2,yes
2004,1500,Kuching,Condominium,3,1,2,1100,Partially Furnished,Kuala Lumpur,10,1,no
2004,1600,Kuching,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,10,2,no
2006,1400,Sentul,Apartment,3,1,2,650,Partially Furnished,Kuala Lumpur,8,3,yes
2021,1800,Lama,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,4,4,yes
2021,1100,Cheras,Service Residence,2,,2,650,Not Furnished,Kuala Lumpur,8,3,yes
2021,1488,Cheras,Service Residence,3,1,2,819,Partially Furnished,Kuala Lumpur,8,3,yes
,1500,Setapak,Condominium,3,1,2,850,Not Furnished,Kuala Lumpur,,,
2018,2200,Setapak,Apartment,3,1,2,829,Fully Furnished,Kuala Lumpur,8,,
,1400,Jalil,Condominium,2,1,2,980,Fully Furnished,Kuala Lumpur,7,4,yes
2004,1500,Kuching,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,10,3,no
,1600,Pandan,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,9,3,no
,1500,Cheras,Condominium,3,1,2,1185,Partially Furnished,Kuala Lumpur,,5,yes
2003,1200,Setapak,Condominium,3,1,2,931,Partially Furnished,Kuala Lumpur,10,1,no
,1500,Cheras,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,1,5,yes
,1400,Road,Condominium,1,1,2,775,Fully Furnished,Kuala Lumpur,9,4,yes
2000,1600,Petaling,Condominium,4,,2,1421,Partially Furnished,Kuala Lumpur,5,2,yes
2007,1800,Setapak,Condominium,3,,2,1076,Fully Furnished,Kuala Lumpur,7,3,yes
,1600,Setapak,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,6,5,yes
,1000,Kepong,Apartment,3,,2,750,Not Furnished,Kuala Lumpur,2,,
,1600,Setapak,Apartment,3,1,2,900,Fully Furnished,Kuala Lumpur,3,4,yes
,1600,Cheras,Condominium,3,2,2,1018,Partially Furnished,Kuala Lumpur,,3,yes
2015,1600,Cheras,Condominium,4,1,2,1142,Partially Furnished,Kuala Lumpur,5,5,yes
2021,3200,Jalil,Service Residence,2,1,2,750,Fully Furnished,Kuala Lumpur,7,3,no
,900,Maju,Flat,2,,1,600,Partially Furnished,Kuala Lumpur,,2,yes
2008,1600,Setapak,Condominium,4,1,2,1328,Not Furnished,Kuala Lumpur,,,
2017,1700,Setapak,Service Residence,3,1,2,900,Fully Furnished,Kuala Lumpur,,,
,1800,Setapak,Condominium,4,,2,1313,Not Furnished,Kuala Lumpur,9,,
2007,1800,Setapak,Condominium,3,1,2,1067,Fully Furnished,Kuala Lumpur,,,
,2500,Titiwangsa,Service Residence,3,1,2,850,Fully Furnished,Kuala Lumpur,7,4,yes
2021,1300,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,2,yes
1995,1100,Setapak,Condominium,3,1,2,820,Partially Furnished,Kuala Lumpur,8,2,no
,900,Ampang,Condominium,3,1,2,890,Partially Furnished,Kuala Lumpur,11,1,no
,1200,Cheras,Apartment,3,1,2,1006,Partially Furnished,Kuala Lumpur,,4,yes
2013,2000,Kuching,Condominium,3,1,2,1018,Fully Furnished,Kuala Lumpur,12,3,no
2013,1700,Titiwangsa,Service Residence,2,1,1,726,Partially Furnished,Kuala Lumpur,10,3,yes
,1300,Selatan,Apartment,3,1,2,850,Fully Furnished,Kuala Lumpur,3,4,yes
,1200,South,Flat,3,,1,750,Not Furnished,Kuala Lumpur,,,
,1200,Maju,Flat,2,,1,520,Not Furnished,Kuala Lumpur,,1,yes
,1500,Maju,Apartment,3,,2,1070,Partially Furnished,Kuala Lumpur,6,2,no
2021,2500,Sentul,Service Residence,3,,2,850,Fully Furnished,Kuala Lumpur,10,4,yes
,750,Maju,Flat,2,2,1,580,Partially Furnished,Kuala Lumpur,9,2,yes
2019,1700,Perdana,Apartment,1,,1,450,Fully Furnished,Kuala Lumpur,10,4,no
,1200,Pandan,Condominium,3,,2,900,Not Furnished,Kuala Lumpur,8,,
2012,2100,Ismail,Service Residence,1,,1,560,Fully Furnished,Kuala Lumpur,5,3,no
,1400,Sentul,Condominium,3,2,2,1010,Not Furnished,Kuala Lumpur,3,,
,3000,Kiara,Condominium,4,2,3,1268,Fully Furnished,Kuala Lumpur,14,5,yes
2014,1400,Cheras,Condominium,3,2,2,865,Fully Furnished,Kuala Lumpur,10,3,no
2020,1400,Kepong,Service Residence,3,2,2,932,Partially Furnished,Kuala Lumpur,12,2,yes
,650,Keramat,Flat,2,,1,568,Partially Furnished,Kuala Lumpur,3,1,no
2017,1350,Sentul,Service Residence,3,1,2,1095,Not Furnished,Kuala Lumpur,14,5,yes
,1600,Road,Duplex,1,1,2,775,Fully Furnished,Kuala Lumpur,11,4,yes
,1700,Road,Service Residence,2,1,2,775,Fully Furnished,Kuala Lumpur,11,4,yes
,1599,Pudu,Condominium,3,1,2,900,Partially Furnished,Kuala Lumpur,9,,
2007,1880,Kuching,Service Residence,3,1,2,1290,Partially Furnished,Kuala Lumpur,11,2,no
2017,1800,Segambut,Condominium,3,2,3,1298,Partially Furnished,Kuala Lumpur,7,,
2016,2000,Damansara,Condominium,4,2,3,1492,Partially Furnished,Kuala Lumpur,9,,
2016,2800,Damansara,Condominium,3,2,3,1610,Fully Furnished,Kuala Lumpur,9,,
,1800,Kuching,Service Residence,3,1,2,1105,Fully Furnished,Kuala Lumpur,14,5,yes
,1300,Jalil,Apartment,4,1,2,1200,Not Furnished,Kuala Lumpur,3,5,yes
,1800,South,Apartment,3,,2,1200,Partially Furnished,Kuala Lumpur,5,2,yes
2015,1800,Cheras,Condominium,4,,2,1142,Partially Furnished,Kuala Lumpur,5,1,no
,1500,Setiawangsa,Apartment,3,,1,874,Partially Furnished,Kuala Lumpur,,,
,1300,Cheras,Apartment,3,,2,850,Fully Furnished,Kuala Lumpur,,,
1999,1200,Cheras,Condominium,3,2,2,975,Partially Furnished,Kuala Lumpur,9,2,yes
,600,Cheras,Apartment,3,,1,700,Not Furnished,Kuala Lumpur,5,2,yes
,1499,Setapak,Service Residence,2,1,1,700,Fully Furnished,Kuala Lumpur,10,4,yes
,1300,Pandan,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,7,,
,1000,Pandan,Apartment,3,,2,900,Partially Furnished,Kuala Lumpur,7,,
2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,8,3,yes
,900,Cheras,Flat,3,,2,650,Not Furnished,Kuala Lumpur,4,,
,900,Ampang,Flat,3,,2,680,Partially Furnished,Kuala Lumpur,4,1,no
,1300,Cheras,Apartment,3,2,2,1000,Partially Furnished,Kuala Lumpur,11,1,no
,1000,Cheras,Flat,3,,2,700,Fully Furnished,Kuala Lumpur,,,
,1550,Sentul,Condominium,3,,2,900,Partially Furnished,Kuala Lumpur,10,1,no
2022,3300,Desa,Condominium,4,2,3,1118,Fully Furnished,Kuala Lumpur,9,5,yes
2012,2600,Ismail,Service Residence,2,1,1,805,Fully Furnished,Kuala Lumpur,8,4,yes
2011,1400,Road,Duplex,1,1,1,775,Partially Furnished,Kuala Lumpur,,4,yes
2010,1700,Ipoh,Condominium,3,1,2,1300,Partially Furnished,Kuala Lumpur,8,3,yes
2022,1800,Lama,Service Residence,2,1,2,804,Fully Furnished,Kuala Lumpur,9,,
,850,Sentul,Apartment,2,1,1,570,Not Furnished,Kuala Lumpur,,,
,1300,Jalil,Apartment,4,1,2,1434,Partially Furnished,Kuala Lumpur,14,5,yes
,1200,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,14,5,yes
2021,2800,Segambut,Service Residence,3,2,2,1033,Fully Furnished,Kuala Lumpur,8,2,no
,1000,Cheras,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,5,3,yes
,800,Cheras,Apartment,3,,2,650,Not Furnished,Kuala Lumpur,5,1,yes
2008,3800,Ampang,Condominium,2,,2,1400,Fully Furnished,Kuala Lumpur,10,,
2007,2000,Bintang,Service Residence,2,,2,900,Fully Furnished,Kuala Lumpur,7,,
2018,1200,Besi,Apartment,3,1,2,1035,Partially Furnished,Kuala Lumpur,7,3,yes
,1000,Kepong,Apartment,5,,2,850,Not Furnished,Kuala Lumpur,4,1,no
2004,1500,Kuching,Condominium,3,,2,1050,Partially Furnished,Kuala Lumpur,14,3,no
2023,2300,Cheras,Condominium,4,2,3,1000,Partially Furnished,Kuala Lumpur,9,3,yes
,1499,Sentul,Service Residence,3,1,2,948,Partially Furnished,Kuala Lumpur,12,2,no
1999,1400,Cheras,Condominium,3,1,2,920,Partially Furnished,Kuala Lumpur,7,,
2006,1750,Sentul,Apartment,3,1,2,1010,Fully Furnished,Kuala Lumpur,7,4,yes
2020,1700,Sentul,Apartment,3,1,2,819,Fully Furnished,Kuala Lumpur,9,3,yes
2017,1350,Sentul,Service Residence,3,1,2,1150,Partially Furnished,Kuala Lumpur,11,1,no
,750,Keramat,Apartment,3,2,2,722,Not Furnished,Kuala Lumpur,4,3,yes
,1600,OUG,Apartment,3,2,2,950,Fully Furnished,Kuala Lumpur,7,4,yes
2013,1800,Kuching,Condominium,2,1,2,880,Fully Furnished,Kuala Lumpur,11,3,no
2022,1800,Setapak,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,7,2,yes
,1300,South,Apartment,2,1,2,555,Partially Furnished,Kuala Lumpur,5,2,yes
2007,5800,Kiara,Condominium,7,3,7,3488,Partially Furnished,Kuala Lumpur,11,3,yes
2018,1500,Ampang,Service Residence,1,1,1,680,Fully Furnished,Kuala Lumpur,12,4,yes
2021,1250,Jalil,Apartment,3,,2,850,Partially Furnished,Kuala Lumpur,5,,
2021,2800,Sentul,Service Residence,3,,2,850,Fully Furnished,Kuala Lumpur,,,
2021,2500,Sentul,Service Residence,3,,2,850,Fully Furnished,Kuala Lumpur,,,
2017,1850,Cheras,Service Residence,3,1,2,1050,Fully Furnished,Kuala Lumpur,4,4,yes
2021,3500,Jalil,Service Residence,2,,1,750,Fully Furnished,Kuala Lumpur,5,,
2019,1499,Setapak,Apartment,3,2,2,928,Partially Furnished,Kuala Lumpur,9,3,yes
,1300,Sentul,Apartment,3,1,2,1000,Not Furnished,Kuala Lumpur,7,1,yes
2006,1500,Sentul,Apartment,3,1,2,1100,Partially Furnished,Kuala Lumpur,6,3,yes
,1450,Setapak,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,8,2,yes
2015,1600,Cheras,Condominium,3,1,2,1142,Partially Furnished,Kuala Lumpur,8,2,no
,2000,South,Service Residence,1,,1,525,Fully Furnished,Kuala Lumpur,6,5,yes
